"","date","ch4.corr","ch4.raw","lon","lat","alt"
"93",2020-03-13 13:53:03,1983.64396461034,1983.64396461034,8.604461138,47.39037373,6.918827419
"94",2020-03-13 13:53:05,1984.03875071842,1984.03875071842,8.6044619835,47.390373735,7.398027419
"95",2020-03-13 13:53:07,1984.34461406488,1984.34461406488,8.604455641,47.3903705,7.376427419
"96",2020-03-13 13:53:09,1985.3633975449,1985.3633975449,8.604430857,47.39035903,7.436977419
"97",2020-03-13 13:53:11,1986.38218102493,1986.38218102493,8.604404734,47.390342055,7.426927419
"98",2020-03-13 13:53:13,1987.39988720411,1987.39988720411,8.604381245,47.390323265,7.395277419
"99",2020-03-13 13:53:15,1988.41867013162,1988.41867013162,8.604359724,47.39030745,7.362727419
"100",2020-03-13 13:53:17,1989.96482397043,1989.96482397043,8.604344119,47.390290555,7.304327419
"101",2020-03-13 13:53:19,1991.56589927357,1991.56589927357,8.604327223,47.39027032,7.245577419
"102",2020-03-13 13:53:21,1993.12155709678,1993.12155709678,8.6043165705,47.390246935,7.196577419
"103",2020-03-13 13:53:23,1994.76853370971,1994.76853370971,8.6043122345,47.39022837,7.115627419
"104",2020-03-13 13:53:25,1998.52951536062,1998.52951536062,8.6042998895,47.390217785,7.047227419
"105",2020-03-13 13:53:27,2002.29209682747,2002.29209682747,8.6042776595,47.39020257,7.069227419
"106",2020-03-13 13:53:29,2006.08299658867,2006.08299658867,8.604262627,47.3901854,7.107627419
"107",2020-03-13 13:53:31,2009.95853344246,2009.95853344246,8.604251699,47.390170495,7.040727419
"108",2020-03-13 13:53:33,2013.83407029624,2013.83407029624,8.6042396735,47.390153775,7.020827419
"109",2020-03-13 13:53:35,2025.72456024363,2025.72456024363,8.6042254255,47.390136785,7.029877419
"110",2020-03-13 13:53:37,2033.66568099932,2033.66568099932,8.604204597,47.390121,7.023727419
"111",2020-03-13 13:53:39,2042.36182254308,2042.36182254308,8.604181186,47.390109445,7.037577419
"112",2020-03-13 13:53:41,2057.09481269498,2057.09481269498,8.6041535165,47.390098225,7.082577419
"113",2020-03-13 13:53:43,2071.83200604319,2071.83200604319,8.604123258,47.390087425,7.128277419
"114",2020-03-13 13:53:45,2086.58389048726,2086.58389048726,8.604092513,47.390071765,7.113677419
"115",2020-03-13 13:53:47,2094.13838840674,2094.13838840674,8.6040629,47.39005521,7.129727419
"116",2020-03-13 13:53:49,2101.69288632622,2101.69288632622,8.604037726,47.390039495,7.168477419
