"","date","co2","ch4","co","h20","cav.p","T0","T1","T2","lon","lat","alt.uav","alt.p","amb.press","pump.press","uav.speed"
"100",2020-02-25 10:53:02,423.845319434178,2018.2768130986,139.636440997867,0.0109405093247723,80.0100548635,13.216,14.051,14.0135,8.60667854022183,47.3899238433285,5.00000016,2.11260133063079,956.58,328.4,0.963334930154667
"101",2020-02-25 10:53:04,423.921910188436,2021.58621613565,144.327869876713,0.010673459348,80.001965609,13.212,14.049,13.998,8.6066655134894,47.3898941448873,5.0166668272,2.09582115947687,956.58,328.38,1.15166857566933
"102",2020-02-25 10:53:06,423.973634933923,2023.81971787626,147.455786326872,0.010673459348,80.006992017,13.212,14.017,14.005,8.6066420493604,47.3898695137588,5.0562501618,2.07904098844593,956.26,341.91,0.997501653456
"103",2020-02-25 10:53:08,424.030743861324,2026.11246261313,150.513244229335,0.0117947507151665,80.006992017,13.2,14.033,13.984,8.6066193583591,47.3898524511374,5.1000001632,4.88368911174051,956.46,341.91,1.05631754042274
"104",2020-02-25 10:53:10,424.202323418982,2031.54587622512,151.040587582213,0.012078538081,79.986175537,13.207,14.013,13.985,8.60660032486228,47.3898393435867,5.09285730582857,3.10342580350846,956.46,329.8,0.690001143744
"105",2020-02-25 10:53:12,424.287583489243,2034.26050240863,151.303995578386,0.012078538081,79.9921090075,13.192,13.997,13.967,8.60659145967509,47.3898327454929,5.04000016128,2.91031326093628,956.5,333.23,0.524667536354133
"106",2020-02-25 10:53:14,424.372843559504,2036.97512859214,151.567403574559,0.012078538081,79.998042478,13.2,13.989,13.951,8.60658555493276,47.3898225686808,5.1000001632,3.06986374926534,956.46,336.27,0.685295253590588
"107",2020-02-25 10:53:16,424.475281242134,2040.62985782488,151.844082226523,0.0115334796383428,79.998042478,13.191,13.979,13.955,8.60656940521653,47.3898116456719,5.0333334944,3.75843750681017,956.38,332.4,0.9680016045568
"108",2020-02-25 10:53:18,424.440467639142,2050.05126776232,150.532691629058,0.011435465208,79.977783203,13.185,13.9725,13.9495,8.6065425689183,47.3897983663835,5.00000016,3.03630169553873,956.3,337.22,1.01762073442438
"109",2020-02-25 10:53:20,424.406020304269,2059.47412526433,149.221472252562,0.011435465208,79.977559235,13.19,13.947,13.924,8.60651459455112,47.3897880512515,5.02352957251765,5.84122200266972,956.66,334.65,1.01411932806024
"110",2020-02-25 10:53:22,424.393835332798,2063.82019168142,149.288959986614,0.0124418303896137,79.976531853,13.179,13.953,13.933,8.60648968455719,47.3897766946771,5.00000016,1.23956599513823,956.26,335.05,1.145626898988
"111",2020-02-25 10:53:24,424.381650361327,2068.1662580985,149.356447720666,0.0134481955712274,79.975504471,13.175,13.949,13.923,8.60646179551615,47.3897582195933,5.00000016,4.74942947265267,956.38,336.39,1.27444655696356
"112",2020-02-25 10:53:26,424.354781714533,2075.3457316144,151.911206489353,0.013600015323,79.973178517,13.178,13.928,13.912,8.60643387829889,47.3897385213735,4.99473700193684,3.67452951840735,956.34,332.4,1.26158103856168
"113",2020-02-25 10:53:28,424.336491119138,2080.13053581744,153.614188541854,0.013600015323,80.00353991,13.161,13.914,13.892,8.60640781694361,47.3897236959748,5.00000016,4.01044152035824,956.26,338.75,0.956668252437333
"114",2020-02-25 10:53:30,424.311565101698,2084.88921472621,155.306416902519,0.0118685575063242,80.00353991,13.165,13.913,13.875,8.60638707678396,47.3897169201702,5.00000016,3.28828495752309,956.58,340.53,0.754118897084235
"115",2020-02-25 10:53:32,424.257049840152,2082.13082070292,155.286018477599,0.0114775646,80.007568359,13.163,13.899,13.874,8.60637349598918,47.3897116386222,5.00000016,3.62418472691518,956.38,330.47,0.681112240120889
"116",2020-02-25 10:53:34,424.203995113199,2079.05619346259,155.266364092619,0.0114775646,80.005413055,13.159,13.892,13.859,8.60636019447106,47.3897048658274,5.0333334944,4.66551720247105,956.26,332.6,0.582778743790222
"117",2020-02-25 10:53:36,424.18656102538,2078.03232761606,155.259940318858,0.011544733057293,80.005413055,13.1455,13.8695,13.85,8.60634624172204,47.3896982984916,5.00000016,6.41249578407122,956.475,332.66,0.7500012432
"118",2020-02-25 10:53:38,424.169126937561,2077.00846176953,155.253516545096,0.0116119015145861,80.005413055,13.135,13.853,13.848,8.60632673935045,47.3896856497395,5.00000016,-0.921938317487433,956.38,331.1,0.8410013940416
"119",2020-02-25 10:53:40,424.221145512001,2067.48780530729,152.574246717198,0.011659296036,80.014373736,13.133,13.846,13.851,8.60631197927874,47.3896730524094,5.00000016,3.55705834004953,956.38,333.31,0.701429734116571
"120",2020-02-25 10:53:42,424.278695039831,2057.34100764509,149.752935692689,0.011659296036,80.022392402,13.134,13.846,13.829,8.60629471809701,47.3896596863773,5.00000016,3.54027674365778,956.66,336.66,0.918668189448533
"121",2020-02-25 10:53:44,424.3203764608,2050.58964342339,147.873669194313,0.0125467310005982,80.022392402,13.127,13.855,13.819,8.606276645766,47.3896441131755,5.00000016,1.05499041287749,955.95,334.14,1.00052797426189
"122",2020-02-25 10:53:46,424.280174408394,2047.98239263103,148.321642900542,0.012918767726,79.999107361,13.114,13.813,13.816,8.60625572387159,47.3896259116072,5.00000016,7.29876839612531,956.02,335.56,1.1340018797184
"123",2020-02-25 10:53:48,424.227681125875,2046.12448765617,149.093077410948,0.012918767726,79.999820362,13.109,13.816,13.799,8.60623643694155,47.3896077915634,5.00000016,5.60625565158853,956.26,331.42,1.08444624201956
"124",2020-02-25 10:53:50,424.175187859789,2044.26658326285,149.86451192063,0.012918767726,80.004663888,13.114,13.811,13.797,8.60622207728082,47.3895902088034,5.05555571733333,2.76780528402507,956.46,335.44,0.873334780970667
"125",2020-02-25 10:53:52,424.121991883491,2042.40589673136,150.635598916212,0.0127305710192934,80.004663888,13.111,13.809,13.765,8.6062203967704,47.3895769700019,5.0500001616,6.27822473104361,956.06,338.28,0.762858407369143
"126",2020-02-25 10:53:54,424.12393577453,2049.1051149528,148.824697788046,0.012635445818,79.983283997,13.0975,13.8025,13.769,8.60622407592566,47.3895560536791,5.03888905013333,5.55590572259344,956.14,333.15,1.18777974663822
"127",2020-02-25 10:53:56,424.1359949786,2057.12332841004,146.615371644141,0.012635445818,80.007251804,13.08,13.789,13.754,8.60622518949547,47.3895315417526,5.07058839755294,5.53912241319405,956.18,335.64,1.30941393518682
"128",2020-02-25 10:53:58,424.141327058091,2059.80131214217,145.879554592001,0.0129868914514388,80.007251804,13.075,13.775,13.75,8.60620919582224,47.3895000573572,5.07647075068235,5.16959004062828,956.97,333.63,1.77706176918212
"129",2020-02-25 10:54:00,424.146659137582,2062.47929587431,145.143737539861,0.0133383370848775,80.007251804,13.075,13.779,13.749,8.60618322175071,47.3894709396836,5.1000001632,-1.81153358567177,956.34,335.44,1.43368658700126
"130",2020-02-25 10:54:02,424.139820526843,2081.0592901065,146.731477287115,0.013637237632,80.017684937,13.056,13.765,13.738,8.60615973103372,47.3894543291775,5.08421068901053,3.72514953090777,956.26,335.84,0.726843310076632
"131",2020-02-25 10:54:04,424.129663964901,2100.67490917957,148.72916323944,0.013637237632,80.016603631,13.063,13.761,13.731,8.60615061493586,47.3894666561588,5.02857158948571,4.41378041148965,956.38,337.57,0.972144468566857
